Date,Volume Transigé,Valeur Transigée,Nombre d'Emetteurs,Nombre de Transactions
2019-08-02,0,0.0,5.0,0.0
2019-08-05,0,0.0,5.0,0.0
2019-08-07,0,0.0,5.0,0.0
2019-08-09,0,0.0,5.0,0.0
2019-08-14,0,0.0,5.0,0.0
2019-08-16,0,0.0,5.0,0.0
2019-08-19,0,0.0,4.0,0.0
2019-08-23,160658,2.0,4.0,1298810577.0
2019-08-26,0,0.0,4.0,0.0
2019-08-28,4342,44456826.0,4.0,1.0
2019-08-30,0,0.0,4.0,0.0
2019-09-02,0,0.0,4.0,0.0
2019-09-04,0,0.0,4.0,0.0
2019-09-13,400000,2114740000.0,12.0,1.0
2019-09-16,0,0.0,12.0,0.0
2019-09-18,0,0.0,12.0,0.0
2019-09-20,13334,105098455.0,12.0,2.0
2019-09-25,0,0.0,12.0,0.0
2019-09-27,0,0.0,12.0,0.0
2019-10-02,0,0.0,12.0,0.0
2019-10-04,0,0.0,12.0,0.0
2019-10-07,0,0.0,12.0,0.0
2019-10-09,0,0.0,12.0,0.0
2019-10-11,13424,106136453.0,11.0,1.0
2019-10-14,0,0.0,11.0,0.0
2019-10-16,0,0.0,11.0,0.0
2019-10-18,0,0.0,11.0,0.0
2019-10-21,0,0.0,11.0,0.0
2019-10-23,0,0.0,11.0,0.0
2019-10-25,10000,1014246600.0,11.0,1.0
2019-10-28,5000,52920550.0,11.0,1.0
2019-10-30,0,0.0,11.0,0.0
2019-11-04,0,0.0,11.0,0.0
2019-11-06,0,0.0,11.0,0.0
2019-11-08,0,0.0,11.0,0.0
2019-11-11,0,0.0,11.0,0.0
2019-11-13,0,0.0,11.0,0.0
2019-11-15,0,0.0,11.0,0.0
2019-11-18,0,0.0,11.0,0.0
2019-11-20,475500,4711097085.0,11.0,2.0
2019-11-22,0,0.0,11.0,0.0
2019-11-25,5000,25000000.0,11.0,2.0
2019-11-27,0,0.0,11.0,0.0
2019-11-29,0,0.0,11.0,0.0
2019-12-02,0,0.0,11.0,0.0
2019-12-04,60000,595749000.0,11.0,1.0
2019-12-06,28500,266191445.0,11.0,3.0
2019-12-09,0,0.0,11.0,0.0
2019-12-11,235000,1213711550.0,11.0,3.0
2019-12-13,50000,497148000.0,11.0,1.0
2019-12-16,0,0.0,11.0,0.0
2019-12-18,0,0.0,11.0,0.0
2019-12-20,0,0.0,11.0,0.0
2019-12-23,0,0.0,11.0,0.0
2019-12-27,0,0.0,10.0,0.0
2019-12-30,0,0.0,10.0,0.0
2020-01-03,7500,75556350.0,10.0,1.0
2020-01-06,0,75556350.0,10.0,0.0
2020-01-08,0,0.0,0.0,0.0
2020-01-10,0,0.0,10.0,0.0
2020-01-13,0,0.0,10.0,0.0
2020-01-15,0,0.0,10.0,0.0
2020-01-17,0,0.0,10.0,0.0
2020-01-20,0,0.0,10.0,0.0
2020-01-22,0,0.0,10.0,0.0
2020-01-24,0,0.0,10.0,0.0
2020-01-27,0,0.0,10.0,0.0
2020-01-29,0,0.0,10.0,0.0
2020-01-31,0,0.0,10.0,0.0
2020-02-03,0,0.0,10.0,0.0
2020-02-05,0,0.0,10.0,0.0
2020-02-12,0,0.0,10.0,0.0
2020-02-14,0,0.0,10.0,0.0
2020-02-17,0,0.0,10.0,0.0
2020-02-19,0,0.0,10.0,0.0
2020-02-21,4094,41367080.0,12.0,7.0
2020-02-24,0,0.0,12.0,0.0
2020-02-26,0,0.0,12.0,0.0
2020-02-28,50,500000.0,12.0,1.0
2020-03-02,0,0.0,12.0,0.0
2020-03-04,0,0.0,12.0,0.0
2020-03-06,0,0.0,12.0,0.0
2020-03-09,0,0.0,12.0,0.0
2020-03-11,0,0.0,12.0,0.0
